INSTNM,STABBR,CONTROL,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,UGDS,PCTFLOAN,MD_EARN_WNE_P10,GRAD_DEBT_MDN_SUPP,RPY_3YR_RT_SUPP,NPT4,RPY_3YR_70
The Evergreen State College,WA,public,545,495,510,23,24,21,7,3802,0.5332,32800,17264,0.587124879,12971,0
Seattle University,WA,private,585,585,580,27,25,24,9,4415,0.5347,55800,25000,0.7293447293,32996,1
Walla Walla University,WA,private,540,540,505,23,23,22,7,1639,0.5907,45500,27000,0.6600985222,23107,0
Washington State University,WA,public,510,520,495,22,22,22,7,23585,0.487,47500,20500,0.7334455668,16864,1
University of Washington-Seattle Campus,WA,public,590,640,580,28,28,29,9,29468,0.3214,53700,15797,0.75714431,13566,1
Alderson Broaddus University,WV,private,475,485,460,22,20,21,6,1024,0.8945,46000,27000,0.6692708333,17311,0
Concord University,WV,public,475,485,455,22,22,20,7,2234,0.7187,32100,21200,0.5290697674,7478,0
Carroll University,WI,private,527,542,485,24,23,24,8,2934,0.7137,41300,27000,0.75238795,22858,1
Lakeland College,WI,private,440,452,448,20,19,20,7,2232,0.645,40200,26915,0.5836012862,20575,0
Marquette University,WI,private,590,605,570,27,27,27,9,8212,0.4881,56000,27000,0.7946933449,30452,1
Ripon College,WI,private,565,575,565,24,24,24,7,820,0.656,42000,27000,0.7938388626,18325,1
University of Wisconsin-Whitewater,WI,public,495,480,485,23,22,22,7,10533,0.6329,41400,25000,0.6852996506,13815,0
University of Wisconsin-Madison,WI,public,610,680,635,29,29,29,9,29302,0.3617,51600,22805,0.8435530967,18397,1
University of the Virgin Islands,VI,public,400,390,405,18,18,17,7,1971,0.3224,31800,15150,0.3928571429,11672,0
University of Washington-Bothell Campus,WA,public,490,525,485,21,19,22,7,4378,0.3989,53700,15797,0.75714431,11505,1
University of Washington-Tacoma Campus,WA,public,485,495,460,21,20,21,7,3788,0.503,53700,15797,0.75714431,10087,1
Watkins College of Art Design & Film,TN,private,435,410,453,22,22,22,8,288,0.5785,28300,29125,0.5108695652,28764,0
Florida Gulf Coast University,FL,public,530,520,525,23,23,23,8,13253,0.4578,41400,18750,0.5800473186,13624,0
University of South Florida-St Petersburg,FL,public,590,570,565,26,26,25,8,3829,0.4631,41000,19500,0.5623737766,11595,0
University of South Florida-Sarasota-Manatee,FL,public,570,550,540,24,24,24,7,1690,0.4603,41000,19500,0.5623737766,6175,0
University of Minnesota-Rochester,MN,public,535,670,595,24,23,25,8,479,0.6687,48300,20500,0.740544362,18769,1
Pennsylvania State University-World Campus,PA,public,510,505,490,25,23,21,7,5736,0.5641,47700,27000,0.7054350978,22264,1
