Generation,Vial,Diet,DietHistory,Mass,WingLength,LarvalTime,PupalTime
F2,8,poor,RPP,1.2,1.945,7.5,4
F2,5,poor,PSP,1.1,1.945,7.5,5
F2,1,poor,PSP,1.3,1.945,6.5,4
F2,6,poor,PPP,1.3,1.946,6.5,4
F2,9,poor,PRP,1.3,1.946,6.5,4
F2,1,poor,RRP,1.1,1.947,6.5,4
F2,5,rich,RRR,1.2,1.948,3.5,5
F2,6,poor,RPP,1.3,1.949,4.5,4
F2,2,rich,RPR,1.4,1.949,4.5,4
F2,8,standard,PSS,1.6,1.949,5.5,5
F2,7,rich,RRR,1.4,1.949,4.5,4
F2,4,standard,RSS,1.5,1.949,5.5,4
F2,8,poor,PRP,1.3,1.95,6.5,4
F2,2,poor,PPP,1.2,1.95,5.5,5
F2,9,poor,RPP,1.1,1.95,5.5,4
F2,5,standard,SSS,1.5,1.95,5.5,4
F2,9,standard,RSS,1.7,1.95,5.5,4
F2,6,poor,PPP,1.4,1.95,5.5,5
F2,2,poor,RPP,1.2,1.951,6.5,4
F2,5,rich,RPR,1,1.951,1.5,5
F2,6,standard,PSS,1.4,1.951,5.5,5
F2,2,rich,RPR,1.5,1.951,4.5,4
F2,2,rich,PRR,1.4,1.952,4.5,4
F2,7,poor,RRP,1,1.952,5.5,4
F2,2,standard,SSS,1.4,1.953,5.5,4
F2,3,poor,PRP,1.4,1.953,5.5,4
F2,7,poor,PSP,1.2,1.953,5.5,5
F2,1,standard,RRS,1.8,1.955,5.5,4
F2,1,rich,PPR,1.6,1.955,4.5,4
F2,8,poor,PRP,1.3,1.956,6.5,4
F2,5,standard,PSS,1.3,1.956,5.5,5
F2,1,poor,PSP,1.3,1.957,5.5,4
F2,9,poor,PRP,1.4,1.957,6.5,4
F2,1,poor,RPP,1.1,1.957,6.5,4
F2,4,standard,PSS,1.5,1.957,5.5,5
F2,8,standard,PSS,1.6,1.957,5.5,5
F2,8,poor,RPP,1.1,1.958,5.5,4
F2,9,poor,RRP,1.3,1.958,5.5,4
F2,4,poor,RRP,0.9,1.958,6.5,4
F2,7,standard,RRS,1.3,1.959,5.5,4
F2,8,poor,PPP,1.3,1.959,5.5,5
F2,1,rich,PPR,1.5,1.96,4.5,4
F2,8,poor,PRP,1.6,1.961,5.5,5
F2,6,rich,PRR,1.5,1.962,4.5,4
F2,3,poor,PSP,1.3,1.962,6.5,6
F2,8,poor,RRP,1.4,1.962,5.5,4
F2,6,standard,RRS,1.5,1.963,5.5,4
F2,8,poor,RPP,1.2,1.963,7.5,4
F2,3,poor,PRP,1.3,1.964,5.5,4
F2,7,standard,PSS,1.6,1.964,5.5,4
F2,4,poor,RPP,1.1,1.965,5.6,4
F2,8,rich,PRR,1.6,1.965,4.5,4
F2,1,poor,PRP,1.1,1.965,5.5,4
F2,5,standard,PSS,1.7,1.965,5.5,6
F2,7,poor,RPP,1.2,1.966,4.5,4
F2,5,poor,PPP,1.5,1.967,5.5,5
F2,3,poor,PSP,1.4,1.967,6.5,4
F2,6,poor,RRP,1.1,1.967,5.5,4
F2,8,poor,RRP,1.4,1.968,5.5,4
F2,7,poor,RRP,1.2,1.968,5.5,4
F2,6,standard,PSS,1.4,1.968,5.5,5
F2,8,standard,PPS,1.5,1.969,4.5,6
F2,2b,poor,RRP,1.2,1.969,6.5,4
F2,4,poor,PRP,1.1,1.97,6.5,5
F2,5,poor,RPP,1.5,1.97,4.5,4
F2,8,poor,RRP,1.2,1.97,4.5,4
F2,4,standard,RSS,1.4,1.97,5.5,4
F2,3,standard,RSS,1.4,1.971,5.5,4
F2,5,standard,PPS,1.5,1.971,5.5,5
F2,2,poor,PRP,1.5,1.971,5.5,5
F2,5,poor,PRP,1.5,1.972,6.5,5
F2,7,poor,RRP,1.2,1.972,5.5,4
F2,1,poor,RPP,1.2,1.973,6.5,4
F2,2,standard,PPS,1.4,1.974,5.5,3
F2,1,standard,SSS,1.6,1.974,5.5,4
F2,5,poor,PSP,1.5,1.975,6.5,4
F2,6,rich,PRR,1.7,1.975,4.5,4
F2,3,standard,PSS,1.2,1.975,5.5,4
F2,5,poor,RPP,1.5,1.976,4.5,4
F2,4,poor,RPP,1.3,1.976,5.6,4
F2,1,standard,RRS,1.6,1.976,5.5,4
F2,2,standard,RRS,1.9,1.976,5.5,4
F2,1,standard,RSS,1.6,1.977,5.5,4
F2,3,standard,RRS,1.7,1.977,5.5,4
F2,7,rich,RSR,1.8,1.977,3.5,5
F2,1,standard,RRS,1.6,1.977,5.5,4
F2,3,standard,RSS,1.3,1.979,5.5,4
F2,6,rich,RPR,1.7,1.979,3.5,4
F2,8,standard,PPS,1.4,1.98,5.5,4
F2,8,standard,RRS,1.4,1.98,5.5,4
F2,9,rich,RPR,1.3,1.981,4.5,4
F2,9,poor,RRP,1.7,1.981,5.5,5
F2,8,poor,PRP,1.5,1.982,5.5,5
F2,1,poor,PSP,1.4,1.982,5.5,4
F2,7,poor,RRP,1.5,1.982,6.5,4
F2,7,poor,PPP,1.3,1.983,6.5,5
F2,1,standard,RSS,1.7,1.984,5.5,4
F2,5,standard,SSS,1.4,1.984,5.5,4
F2,6,standard,RRS,1.5,1.984,5.5,4
F2,2,poor,PRP,1.3,1.984,5.5,5
F2,6,standard,RRS,1.6,1.985,5.5,4
F2,7,rich,PRR,1.5,1.986,4.5,4
F2,5,standard,SSS,1.5,1.986,5.5,4
F2,1,poor,PPP,1.5,1.986,5.5,4
F2,8,standard,PSS,1.5,1.986,5.5,4
F2,2,rich,RRR,2.1,1.986,3.5,4
F2,4,poor,PSP,1,1.987,6.5,4
F2,2,standard,SSS,1.6,1.987,5.5,4
F2,8,poor,RPP,1.3,1.988,6.5,4
F2,3,standard,RRS,1.6,1.988,5.5,4
F2,7,rich,RPR,1.4,1.988,2.5,4
